2430,3,1
2431,3,4
2432,5,2
447,2,3
448,3,3
449,3,2
723,3,2
724,3,3
725,3,3
2955,1,4
2956,4,3
2957,1,3
1935,2,1
1936,4,3
1937,3,2
2469,3,3
2470,3,3
2471,4,5
2034,2,3
2035,4,3
2036,2,4
2022,1,2
2023,2,2
2024,3,3
417,1,1
418,3,2
419,3,4
1182,3,2
1183,2,2
1184,3,1
1179,3,3
1180,2,2
1181,4,4
2376,3,5
2377,3,2
2378,3,4
3063,3,2
3064,2,3
3065,3,2
510,2,3
511,1,2
512,2,2
1863,3,3
1864,2,3
1865,2,2
156,1,3
157,1,2
158,2,3
1740,1,1
1741,1,2
1742,1,3
2409,3,3
2410,3,2
2411,4,4
2508,4,2
2509,1,2
2510,3,2
1137,2,3
1138,1,2
1139,1,3
2646,1,3
2647,1,1
2648,1,1
2109,2,2
2110,3,2
2111,1,2
1620,2,1
1621,1,1
1622,3,2
3144,3,3
3145,2,2
3146,1,2
420,1,1
421,1,3
422,2,3
2823,1,1
2824,2,1
2825,3,3
36,1,1
37,1,1
38,2,1
279,3,3
280,1,2
281,2,3
1611,3,4
1612,2,2
1613,1,2
