1413,1,4
1414,1,4
1415,4,3
93,4,3
94,3,3
95,3,4
2439,3,3
2440,2,3
2441,2,2
1365,3,2
1366,1,2
1367,3,1
2784,3,2
2785,1,1
2786,1,2
2652,3,3
2653,2,3
2654,3,4
468,2,3
469,4,3
470,2,2
1287,3,2
1288,2,1
1289,1,1
1245,2,3
1246,1,2
1247,4,3
897,1,2
898,1,3
899,2,2
1764,3,2
1765,2,3
1766,2,2
1854,4,4
1855,3,3
1856,1,2
798,3,2
799,3,3
800,4,2
1755,2,2
1756,2,2
1757,3,2
864,3,2
865,1,3
866,2,2
1083,1,2
1084,2,1
1085,1,1
3171,1,2
3172,1,1
3173,3,3
1206,2,2
1207,2,3
1208,2,4
381,2,2
382,2,1
383,3,3
2736,3,1
2737,3,1
2738,2,2
1719,1,1
1720,1,2
1721,3,4
2973,1,3
2974,1,2
2975,1,2
2253,2,2
2254,5,3
2255,3,3
240,3,2
241,2,1
242,3,3
1689,4,3
1690,4,3
1691,3,3
1917,4,3
1918,4,3
1919,1,1
489,4,3
490,3,3
491,3,3
1509,3,3
1510,2,1
1511,2,3
