1260,2,3
1261,4,3
1262,4,1
2580,2,1
2581,2,3
2582,3,5
390,3,3
391,1,1
392,1,3
1536,1,2
1537,3,2
1538,2,4
201,2,3
202,2,3
203,2,1
426,2,3
427,2,3
428,4,4
2121,2,3
2122,1,4
2123,1,1
2808,1,2
2809,1,1
2810,1,1
2001,4,2
2002,2,1
2003,3,2
2985,2,4
2986,1,2
2987,4,2
300,2,2
301,3,2
302,2,3
57,1,2
58,3,2
59,2,4
2667,3,2
2668,2,3
2669,2,3
2082,1,1
2083,2,2
2084,1,1
1236,3,1
1237,4,2
1238,2,2
21,2,2
22,3,1
23,3,3
1884,2,3
1885,2,2
1886,1,2
1095,1,2
1096,1,3
1097,1,1
3090,3,2
3091,3,4
3092,1,2
1731,3,2
1732,1,3
1733,2,3
2550,2,3
2551,1,2
2552,1,1
2754,1,2
2755,1,3
2756,2,3
2073,4,3
2074,1,3
2075,3,2
453,2,1
454,1,1
455,3,2
1434,2,1
1435,1,1
1436,3,2
1809,2,3
1810,1,2
1811,2,2
1896,1,2
1897,1,1
1898,1,1
2724,1,2
2725,1,1
2726,1,2
1392,1,3
1393,1,3
1394,1,1
252,3,4
253,1,3
254,1,2
714,1,3
715,4,3
716,1,3
1788,1,1
1789,4,2
1790,1,1
2244,3,3
2245,2,3
2246,3,2
960,1,2
961,1,3
962,2,1
399,1,2
400,1,1
401,1,1
738,1,3
739,3,1
740,3,1
1692,1,3
1693,2,1
1694,3,1
2661,2,2
2662,2,2
2663,3,1
2214,2,3
2215,1,1
2216,2,3
684,3,2
685,3,3
686,4,2
648,3,2
649,1,1
650,2,1
3165,1,2
3166,3,3
3167,1,2
219,2,3
220,1,2
221,3,2
930,1,2
931,1,2
932,1,2
2421,1,2
2422,2,1
2423,1,3
3075,2,1
3076,1,2
3077,1,2
